iter	Passed	Remaining
0	196	195813
1	388	193807
2	546	181623
3	706	176017
4	869	173061
5	1025	169947
6	1219	173060
7	1370	16996588	1594	175568
9	1745	172821110	1874	168564111	2032	167364112	2196	166768113	2359	166205114	2527	165943115	2688	165341116	2895	167443
17	3045	166172118	3222	166367
19	3380	165647
20	3518	164032221	3642	161940222	3789	160965223	3954	160832224	4120	160704225	4285	160531226	4413	159046227	4615	160240228	4787	160300229	4936	159618330	5134	160508331	5318	160885332	5495	161025333	5637	160165334	5815	160331335	5957	159528336	6108	158985337	6269	158713338	6412	158009339	6578	157877440	6723	157269441	6904	157481442	7108	158205
43	7286	158323
44	7477	158680
45	7630	158243
46	7760	157354
47	7909	156878
48	8055	156340
49	8223	156247
50	8402	156345
51	8560	156068
52	8718	155782
53	8874	155467
54	9029	155141
55	9173	154645
56	9341	154549
57	9500	154305
58	9699	154702
59	9867	154586
60	10026	154341661	10186	154116
62	10314	153407
63	10449	152817664	10594	152402665	10749	152120666	10884	151575667	11037	151273668	11163	150628669	11319	150385770	11480	150217771	11631	149918772	11776	149548773	11917	149132774	12054	148672775	12231	148712776	12394	148576777	12521	148013778	12669	147705779	12821	147480880	12936	146781881	13070	146382	13285	146782
83	13441	146571
8484	13581	146208585	13749	1461286	13955	146454
8787	14082	145948888	14238	145748989	14387	145479090	14555	145399191	14723	145319292	14900	145329393	15062	145179494	15229	145089595	15409	145109696	15552	144789797	15715	144649898	15879	144529999	16020	1441810100	16187	1440810101	16371	1441210102	16512	1438010103	16673	1436410104	16842	1435510105	17017	1435210106	17210	1436310107	17397	143688
108	17570	143630
109	17716	143345
110	17857	1430111111	17999	1427111112	18159	1425411113	18349	1426111114	18538	1426611115	18677	1423311116	18812	1419711117	18944	1416011118	19088	1413111119	19266	1412812120	19431	1411512121	19567	1408212122	19716	1405812123	19895	1405512124	20033	1402312125	20179	1399712126	20345	1398512127	20508	1397112128	20649	1394212129	20810	1392713130	20956	1390113131	21117	1388613132	21253	1385413133	21413	1383813134	21579	1382613135	21732	1380613136	21875	1378013137	22028	1376013138	22218	1376213139	22390	137543
140	22531	137267
141	22729	137336
142	22876	137098
143	23037	136942
144	23188	136729
145	23345	136554
146	23482	1362514147	23649	1361414148	23798	1359214149	23958	1357615150	24127	1356515151	24260	1353415152	24406	1351115153	24605	1351615154	24763	1349915155	24922	1348315156	25046	1344815157	25262	1346215158	25427	1344915159	25584	1343216160	25719	1340316161	25857	1337516162	25989	13345163	26124	133171
16164	26282	1330016165	26437	1328216166	26596	1326616167	26750	1324716168	26892	1322316169	27053	1320817170	27191	1318217171	27361	1317117172	27501	13146173	27647	131244
174	27801	131063
175	27966	130933
176	28148	130880
177	28298	130679
178	28436	130428
179	28621	130384
180	28761	130139
181	28888	129840
182	29055	129718
183	29210	129544
184	29353	129315
185	29514	129167
186	29675	129016
187	29834	128858
188	29976	128630
189	30144	128509
190	30305	128363
191	30469	128227
192	30633	128090
193	30777	127867
194	30936	127711
195	31091	127537
196	31251	127384
197	31398	127181
198	31548	126986
199	31697	126790
200	31830	126529
201	31976	126321
202	32125	126129
203	32287	125986
204	32437	125794
205	32603	125665
206	32747	125454
207	32872	125169
208	33060	125124
209	33232	125017
210	33400	124894
211	33552	124715
212	33741	124669
213	33888	124467
214	34034	124267
215	34194	124113
216	34350	123947
217	34517	123818
218	34690	123715
219	34826	123475
220	35009	123403
221	35233	123477
222	35382	123282
223	35573	123235
224	35735	123089
225	35847	122769
226	35996	122576
227	36143	122380
228	36325	122300
229	36520	122263
230	36657	122033
231	36827	121911
232	36971	121703
233	37180	121709
234	37327	121512
235	37473	121312
236	37658	121237
237	37832	121127
238	37967	120890
239	38136	120764
240	38297	120612
241	38447	120426
242	38630	120343
243	38797	120207
244	38927	119958
245	39077	119772
246	39240	119626
247	39433	119572
248	39639	119556
249	39808	119425
250	39973	119283
251	40127	119107
252	40278	118925
253	40433	118754
254	40605	118631
255	40764	118470
256	40925	118318
257	41064	118100
258	41204	117885
259	41349	117685
260	41516	117549
261	41654	117331
262	41820	117193
263	41976	117024
264	42106	116786
